https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1647302400000,2022-03-15 00:00:00,BTC/USDT,39651.60,39800.00,39359.10,39455.50,7680.589,304017676.80053,73576
1647298800000,2022-03-14 23:00:00,BTC/USDT,39312.10,39776.70,39312.00,39653.80,18922.102,748973772.64483,175775
1647295200000,2022-03-14 22:00:00,BTC/USDT,38713.70,39989.00,38657.30,39312.00,33778.645,1328126879.29253,303369
1647291600000,2022-03-14 21:00:00,BTC/USDT,38710.00,38768.70,38579.90,38713.80,5326.130,206058518.13311,52293
1647288000000,2022-03-14 20:00:00,BTC/USDT,38795.00,38927.00,38680.00,38710.00,9408.246,365171530.64806,72091
1647284400000,2022-03-14 19:00:00,BTC/USDT,38665.50,38858.50,38598.20,38795.00,12624.187,488841011.95238,94250
1647280800000,2022-03-14 18:00:00,BTC/USDT,38727.80,38777.80,38400.00,38665.40,17995.094,694373116.20503,137175
1647277200000,2022-03-14 17:00:00,BTC/USDT,38824.20,38837.30,38550.00,38727.70,17117.627,662477526.30285,139202
1647273600000,2022-03-14 16:00:00,BTC/USDT,38939.30,39035.00,38780.50,38824.30,9408.803,366094517.54278,100153
1647270000000,2022-03-14 15:00:00,BTC/USDT,39101.00,39133.30,38805.00,38940.90,13170.888,513338010.25535,134996
1647266400000,2022-03-14 14:00:00,BTC/USDT,38853.90,39160.50,38707.50,39101.00,25841.006,1006959917.05588,243520
1647262800000,2022-03-14 13:00:00,BTC/USDT,38832.30,38957.70,38602.90,38852.20,19550.972,758233547.81801,193326
1647259200000,2022-03-14 12:00:00,BTC/USDT,38885.00,38974.30,38648.90,38832.40,14170.853,549937390.18177,148329
1647255600000,2022-03-14 11:00:00,BTC/USDT,39082.40,39104.90,38826.00,38885.10,9019.838,351342696.78020,97881
1647252000000,2022-03-14 10:00:00,BTC/USDT,39136.00,39169.90,38953.70,39082.30,8406.590,328268602.49339,92344
1647248400000,2022-03-14 09:00:00,BTC/USDT,39060.30,39287.40,38816.20,39136.00,14667.359,573032001.08921,141328
1647244800000,2022-03-14 08:00:00,BTC/USDT,39062.20,39225.70,38928.00,39060.10,16570.012,647260327.91230,160967
1647241200000,2022-03-14 07:00:00,BTC/USDT,38631.00,39176.80,38601.20,39062.20,25209.147,981560777.22647,228320
1647237600000,2022-03-14 06:00:00,BTC/USDT,38443.10,38764.40,38436.50,38631.10,9880.661,381407255.56781,93770
1647234000000,2022-03-14 05:00:00,BTC/USDT,38500.30,38587.80,38427.40,38443.10,6821.533,262638878.42275,69801
1647230400000,2022-03-14 04:00:00,BTC/USDT,38121.70,38920.00,38100.90,38500.30,28914.616,1114852047.25713,246214
1647226800000,2022-03-14 03:00:00,BTC/USDT,38025.10,38159.40,37960.00,38121.80,5934.202,225721363.95432,61652
1647223200000,2022-03-14 02:00:00,BTC/USDT,38047.80,38168.90,37971.00,38025.00,6958.762,264908514.42729,69018
1647219600000,2022-03-14 01:00:00,BTC/USDT,37817.30,38338.00,37816.00,38047.60,17998.643,685466014.04208,160989
1647216000000,2022-03-14 00:00:00,BTC/USDT,37743.00,37860.30,37522.10,37817.20,12362.442,466352900.33832,129826
1647212400000,2022-03-13 23:00:00,BTC/USDT,37704.00,37869.70,37543.00,37743.70,17153.177,647233596.58705,176786
1647208800000,2022-03-13 22:00:00,BTC/USDT,38724.40,38821.10,37500.00,37704.00,32319.236,1231407537.52839,327098
1647205200000,2022-03-13 21:00:00,BTC/USDT,38671.00,38822.70,38631.10,38724.40,4707.167,182349917.23810,61429
1647201600000,2022-03-13 20:00:00,BTC/USDT,38843.40,38843.40,38511.80,38672.20,10711.046,414383692.60045,113543
1647198000000,2022-03-13 19:00:00,BTC/USDT,38962.80,39050.00,38832.10,38843.40,5822.523,226712319.15729,55856
1647194400000,2022-03-13 18:00:00,BTC/USDT,38921.00,39000.00,38852.10,38962.90,4136.039,161015511.38510,41822
1647190800000,2022-03-13 17:00:00,BTC/USDT,38897.60,39037.00,38840.30,38921.00,8183.929,318711642.32464,78594
1647187200000,2022-03-13 16:00:00,BTC/USDT,38913.30,38978.00,38828.70,38897.60,5628.191,218950404.22245,59108
1647183600000,2022-03-13 15:00:00,BTC/USDT,38817.30,39053.30,38808.70,38913.70,13903.125,541732843.31857,119511
1647180000000,2022-03-13 14:00:00,BTC/USDT,38727.90,38904.00,38694.20,38817.30,7829.478,303947390.64187,81422
1647176400000,2022-03-13 13:00:00,BTC/USDT,38475.00,38927.50,38431.50,38728.00,24754.725,958646370.42162,226111
1647172800000,2022-03-13 12:00:00,BTC/USDT,38727.30,38760.90,38333.00,38475.10,19540.951,752733562.80446,202416
1647169200000,2022-03-13 11:00:00,BTC/USDT,38978.80,39012.70,38511.80,38727.40,16256.949,630126858.90508,151877
1647165600000,2022-03-13 10:00:00,BTC/USDT,38964.00,39007.30,38850.00,38978.80,6200.168,241382103.05719,80791
1647162000000,2022-03-13 09:00:00,BTC/USDT,39055.60,39081.70,38810.00,38964.00,7990.413,311474881.89789,76438
1647158400000,2022-03-13 08:00:00,BTC/USDT,39075.40,39120.00,38989.00,39055.60,7326.833,286112967.73102,60738
1647154800000,2022-03-13 07:00:00,BTC/USDT,39131.90,39184.10,39051.60,39075.40,3886.066,152001996.70780,39012
1647151200000,2022-03-13 06:00:00,BTC/USDT,39107.50,39170.00,39055.00,39131.40,3588.994,140375268.13870,39136
1647147600000,2022-03-13 05:00:00,BTC/USDT,39114.20,39160.00,39075.90,39107.40,2134.686,83517835.36355,31112
1647144000000,2022-03-13 04:00:00,BTC/USDT,39170.50,39300.00,39098.10,39115.60,4963.134,194418250.18098,53548
1647140400000,2022-03-13 03:00:00,BTC/USDT,39141.80,39215.70,39078.10,39170.90,4939.694,193413904.58710,50187
1647136800000,2022-03-13 02:00:00,BTC/USDT,38973.00,39202.20,38955.00,39141.70,4699.124,183801958.94928,53142
1647133200000,2022-03-13 01:00:00,BTC/USDT,38898.80,39300.00,38866.00,38973.10,11459.679,447694592.30650,101769
1647129600000,2022-03-13 00:00:00,BTC/USDT,38792.70,38948.60,38667.50,38898.70,8488.367,329599720.61403,92149
1647126000000,2022-03-12 23:00:00,BTC/USDT,39081.40,39149.90,38700.00,38792.60,7005.405,272666810.70724,81384
1647122400000,2022-03-12 22:00:00,BTC/USDT,39069.30,39148.90,39003.90,39081.40,2558.296,99965302.66289,38753
1647118800000,2022-03-12 21:00:00,BTC/USDT,39114.40,39163.50,39028.40,39069.20,2436.284,95274739.11255,33777
1647115200000,2022-03-12 20:00:00,BTC/USDT,39006.80,39195.40,38961.90,39114.40,4952.972,193699995.39887,57331
1647111600000,2022-03-12 19:00:00,BTC/USDT,39030.10,39065.70,38900.00,39006.70,4705.110,183400111.58378,55025
1647108000000,2022-03-12 18:00:00,BTC/USDT,39077.50,39139.00,38900.00,39030.10,6379.811,249113035.99564,65192
1647104400000,2022-03-12 17:00:00,BTC/USDT,39127.50,39578.40,39017.40,39077.50,15702.925,615696955.22143,154921
1647100800000,2022-03-12 16:00:00,BTC/USDT,39019.60,39150.00,38952.40,39130.00,7137.555,278841058.99219,74691
1647097200000,2022-03-12 15:00:00,BTC/USDT,38892.00,39150.00,38814.70,39018.30,11258.965,439208020.94862,123953
1647093600000,2022-03-12 14:00:00,BTC/USDT,39056.50,39130.00,38637.90,38892.00,18865.511,733803772.60553,181047
1647090000000,2022-03-12 13:00:00,BTC/USDT,39155.10,39248.30,38984.40,39056.40,8932.517,349369857.00972,92517
1647086400000,2022-03-12 12:00:00,BTC/USDT,39054.10,39196.40,39009.80,39155.10,5037.496,197011879.38549,70192
1647082800000,2022-03-12 11:00:00,BTC/USDT,39208.30,39257.00,38956.50,39054.10,8711.168,340727796.47092,99662
1647079200000,2022-03-12 10:00:00,BTC/USDT,39158.20,39274.40,39110.00,39208.20,6059.282,237385192.85784,72596
1647075600000,2022-03-12 09:00:00,BTC/USDT,39089.20,39210.70,39058.00,39158.20,4988.174,195265058.67971,62703
